cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 33.3673,Extrapolation: Pe: -1.5 - -0.75; 3 - 6
idle,0.09086961,0.09057709,5.035884,0.0009059364,5.3407E+12,0.08541749
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,0.5613439,0.674385,107.1083,0.3856952,8.000104E+13,0.5276632
-0.25,0.4179578,0.5484563,60.14557,0.180355,4.671924E+13,0.3928802
0,0.6415156,0.5597944,80.53141,0.2170331,5.66708E+13,0.6030247
0.25,1.27597,0.8166418,121.0122,0.3191338,1.215589E+14,1.199412
0.5,1.648033,1.27848,179.9834,0.4351844,1.396276E+14,1.549151
0.75,1.933788,2.130862,271.4008,0.5836709,1.641227E+14,1.81776
1,2.350396,3.383734,461.988,0.769331,2.48634E+14,2.209372
1.25,2.690343,4.577032,573.2924,1.08254,5.04312E+14,2.528922
1.5,3.15333,6.043184,917.3942,1.629826,8.543252E+14,2.96413
1.75,4.06106,7.636578,1293.965,2.76581,1.305133E+15,3.817396
2,5.017183,11.50038,2713.822,5.699141,1.898524E+15,4.716153
2.25,4.284692,15.71139,3657.68,6.800799,2.659962E+15,4.027611
2.5,4.325627,18.57143,4570.5,10.93562,2.54806E+15,4.06609
2.75,4.745826,20.49238,4749.425,7.912435,2.819443E+15,4.461076
3,5.177265,22.35533,5181.191,8.631747,3.075756E+15,4.866628
3.25,5.608704,24.21827,5612.957,9.35106,3.332069E+15,5.272181
3.5,6.040143,26.08121,6044.723,10.07037,3.588382E+15,5.677733
3.75,6.471581,27.94416,6476.489,10.78969,3.844695E+15,6.083285
4,6.90302,29.8071,6908.255,11.509,4.101008E+15,6.488838
4.25,7.334459,31.67004,7340.021,12.22831,4.357321E+15,6.89439
4.5,7.765898,33.53299,7771.788,12.94762,4.613634E+15,7.299942
4.75,8.197337,35.39594,8203.554,13.66694,4.869947E+15,7.705495
5,8.628776,37.25888,8635.319,14.38625,5.12626E+15,8.111047
5.25,9.060214,39.12183,9067.085,15.10556,5.382573E+15,8.516599
5.5,9.491652,40.98477,9498.851,15.82487,5.638886E+15,8.922151
5.75,9.923091,42.84772,9930.616,16.54419,5.895199E+15,9.327703
6,10.35453,44.71066,10362.38,17.2635,6.151511E+15,9.733254
