cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 21.7612,Extrapolation: Pe: -1.5 - -0.75; 3.25 - 6,,,,,
idle,0.078960383,0.078706574,1.61942307,0.000619857,1.83024E+12,0.074222864
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0,0,0,0,0,0
-0.5,0.434616479,0.52126261,28.3559554,0.2296557,2.46284E+13,0.408539569
-0.25,0.382594104,0.513849493,21.5733008,0.1227951,1.59092E+13,0.3596386
0,0.56278145,0.48544607,26.3357356,0.1541655,1.99475E+13,0.529014944
0.25,1.091331066,0.701718942,38.8855346,0.2185866,4.14306E+13,1.025850882
0.5,1.38016615,1.099504278,58.833613,0.2993834,4.68553E+13,1.2973558
0.75,1.62855148,1.80627782,88.216744,0.3956394,5.64481E+13,1.53083768
1,1.99086216,2.67275945,136.418816,0.4871438,7.49628E+13,1.87140977
1.25,2.21149418,3.58875076,162.75489,0.6705399,1.39254E+14,2.07880458
1.5,2.67555726,4.51036182,235.947285,0.956714,2.51063E+14,2.51502418
1.75,3.31074268,6.03621856,359.514562,1.620156,4.19885E+14,3.11209817
2,4.0778684,8.63800152,635.06259,2.806405,5.02084E+14,3.83319655
2.25,4.00512915,11.30372898,1020.49596,4.639428,7.8725E+14,3.76482229
2.5,3.66086517,15.1545798,1333.50327,5.979621,9.07425E+14,3.44121359
2.75,3.9831391,17.4417228,1500.97038,5.710409,8.80144E+14,3.7441505
3,4.21499665,17.8360197,1547.23671,5.159067,1.01815E+15,3.96209647
3.25,4.56624563,19.3223642,1676.17275,5.588989,1.103E+15,4.29227107
3.5,4.91749588,20.808696,1805.10926,6.018911,1.18784E+15,4.62244567
3.75,5.26874613,22.2950278,1934.04577,6.448833,1.27269E+15,4.95262154
4,5.61999511,23.7813596,2062.98181,6.878756,1.35753E+15,5.28279614
4.25,5.97124536,25.2677041,2191.91832,7.308678,1.44238E+15,5.61297074
4.5,6.32249561,26.7540359,2320.85436,7.7386,1.52722E+15,5.94314534
4.75,6.67374459,28.2403804,2449.79087,8.168522,1.61207E+15,6.27331994
5,7.02499484,29.7267122,2578.72691,8.598444,1.69692E+15,6.60349581
5.25,7.37624382,31.213044,2707.66342,9.028366,1.78176E+15,6.93367041
5.5,7.72749407,32.6993885,2836.59946,9.458288,1.86661E+15,7.26384501
5.75,8.07874432,34.1857203,2965.53597,9.88821,1.95145E+15,7.59401961
6,8.4299933,35.6720521,3094.47201,10.31813,2.0363E+15,7.92419421
